Nature,When.Reported,Occurred.Between,Case..,Location,Disposition
Agency Assist,1/11/13 3:51,2013-01-11 03:51:35 and 2013-01-11 03:51:35,1301-0063,HERITAGE GROVE CIR,CLO
Traff Crash 4,6/21/13 10:32,2013-06-21 10:32:06 and 2013-06-21 10:32:06,1306-0125,87 N WOODWARD AVE; OGLESBY UNION - ACTIVITIES BLD,CLO
Alcohol Offense,3/17/13 15:29,2013-03-17 15:29:54 and 2013-03-17 15:29:54,1303-0142,LORENE ST,PEN
DUI,8/28/13 3:29,2013-08-28 03:29:01 and 2013-08-28 03:29:02,1308-0198,W GAINES ST,PEN
Fraud,2/6/13 11:38,2013-01-30 14:00:00 and 2013-02-06 11:38:05,1302-0058,830 W JEFFERSON ST; TANNER HALL,CLO
Investigation,7/10/13 9:09,2013-07-10 09:09:54 and 2013-07-10 09:09:54,1307-0064,505 W PENSACOLA ST; Civic Center,CLO
Sick/Inj Person,12/6/13 0:37,2013-12-06 00:37:32 and 2013-12-06 00:37:32,1312-0056,702 UNIVERSITY WAY; GILCHRIST HALL,CLO
Traff Crash 4,9/5/13 10:55,2013-09-05 10:55:02 and 2013-09-05 10:55:02,1309-0051,104 N WOODWARD AVE; Parking Garage #1,CLO
Death Investiga,9/7/13 11:30,2013-09-07 11:30:24 and 2013-09-07 11:30:24,1309-0086,810 W TENNESSEE ST; DEGRAFF WEST,CLO
Disorderly,1/10/13 1:52,2013-01-10 01:52:21 and 2013-01-10 01:52:21,1301-0049,809 ACADEMIC WAY; CONRADI BLDG,CLO
Suspicious Act.,7/29/13 14:26,2013-07-29 14:26:02 and 2013-07-29 14:26:02,1307-0258,909 ANTARCTIC WAY; CARRAWAY BLDG,CLO
Fire Alarm,12/16/13 11:41,2013-12-16 11:41:26 and 2013-12-16 11:41:26,1312-0163,1800 E PAUL DIRAC DR; Magnetic Lab,CLO
Sick/Inj Person,4/28/13 23:33,2013-04-28 23:33:18 and 2013-04-28 23:33:18,1304-0330,930 W JEFFERSON ST; RAGANS HALL 3 (C),CLO
Traffic Offense,2/3/13 2:41,2013-02-03 02:41:15 and 2013-02-03 02:41:26,1302-0028,555 W JEFFERSON ST; KAPPA DELTA,CLO
Baker Act,10/24/13 12:11,2013-10-24 12:10:41 and 2013-10-24 12:10:41,1310-0295,1107 W CALL ST; NEW PSYCHOLOGY BLDG,CLO
Alcohol Offense,8/27/13 2:07,2013-08-27 02:07:18 and 2013-08-27 02:07:18,1308-0177,500 W COLLEGE AVE,PEN
Agency Assist,1/30/13 15:05,2013-01-30 15:05:05 and 2013-01-30 15:05:05,1301-0293,830 W JEFFERSON ST; TANNER HALL,CLO
Crim Mischief,3/29/13 22:11,2013-03-29 19:30:00 and 2013-03-29 22:00:04,1303-0272,1122 SPIRIT WAY; PARKING GARAGE #3,CLO
Information Bul,10/11/13 22:56,2013-10-11 22:56:45 and 2013-10-11 22:56:45,1310-0128,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Disturbance,5/31/13 19:03,2013-05-31 19:03:21 and 2013-05-31 19:03:21,1305-0222,270 CHIEFTAN WAY; HOWSER STADIUM,CLO
Information Bul,4/20/13 13:27,2013-04-20 13:27:51 and 2013-04-20 13:27:51,1304-0213,HERITAGE GROVE CIR,CLO
Theft,10/28/13 17:27,2013-10-28 16:20:00 and 2013-10-28 17:03:00,1310-0375,150 CONVOCATION WAY; SUWANNEE ROOM,PEN
Information Bul,1/14/13 15:53,2013-01-14 15:53:52 and 2013-01-14 15:53:52,1301-0089,830 W JEFFERSON ST; TANNER HALL,CLO
Traff Crash 4,12/2/13 9:09,2013-12-02 09:06:12 and 2013-12-02 09:06:12,1312-0008,268 CHIEFTAN WAY; WOMENS SOFTBALL LOT,CLO
Marchman Act,9/10/13 0:54,2013-09-10 00:54:50 and 2013-09-10 00:54:50,1309-0112,702 UNIVERSITY WAY; GILCHRIST HALL,CLO
Theft,11/3/13 9:33,2013-11-03 09:33:27 and 2013-11-03 09:33:27,1311-0091,CONVOCATION WAY,CLO
Burglary,12/3/13 22:16,2013-12-03 22:16:24 and 2013-12-03 22:16:24,1312-0030,HERITAGE GROVE CIR,CLO
Lost/Stolen Tag,10/30/13 12:14,2013-10-29 01:00:00 and 2013-10-29 09:00:00,1310-0395,318 S COPELAND ST; DELTA TAU DELTA,CLO
Investigation,9/25/13 16:15,2013-09-25 16:10:28 and 2013-09-25 16:15:28,1309-0301,1801 N ROBERTS AVE; PROPERTY RECORDS,CLO
Theft,11/6/13 4:36,2013-11-06 04:15:00 and 2013-11-06 04:16:00,1311-0132,116 HONORS WAY; STROZIER LIBRARY,CLO
Crim Mischief,6/4/13 6:59,2013-06-04 06:59:48 and 2013-06-04 06:59:48,1306-0016,296 CHAMPIONS WAY; UNIVERSITY CENTER C,CLO
Special Assignm,10/10/13 16:14,2013-10-10 16:00:00 and 2013-10-10 20:00:00,1310-0112,1641 LEVY AVE; ALUMNI VILLAGE,CLO
Alcohol Offense,2/15/13 20:21,2013-02-15 20:21:41 and 2013-02-15 20:21:41,1302-0154,publix,CLO
DUI,9/18/13 2:07,2013-09-18 02:07:14 and 2013-09-18 02:07:16,1309-0220,W TENNESSEE ST,PEN
Intox Person 2,11/2/13 14:43,2013-11-02 14:43:10 and 2013-11-02 14:43:10,1311-0049,MURPHREE ST,CLO
Burglary,7/27/13 19:59,2013-07-27 03:00:00 and 2013-07-27 03:15:00,1307-0235,808 W TENNESSEE ST; DEGRAFF EAST,CLO
Sick/Inj Person,1/27/13 6:24,2013-01-27 06:24:19 and 2013-01-27 06:24:19,1301-0251,702 UNIVERSITY WAY; GILCHRIST HALL,CLO
Lost Property,2/1/13 20:43,2013-02-01 20:43:41 and 2013-02-01 20:43:41,1302-0011,500 W COLLEGE AVE,CLO
Theft,2/3/13 16:48,2013-02-03 16:48:09 and 2013-02-03 16:48:09,1302-0030,806 UNIVERSITY WAY; DEVINEY HALL,CLO
Drugs,12/3/13 22:30,2013-12-03 22:30:37 and 2013-12-03 22:30:37,1312-0029,HERITAGE GROVE CIR,PEN
Suspicious Act.,6/29/13 11:02,2013-06-29 11:02:36 and 2013-06-29 11:02:36,1306-0187,945 LEARNING WAY; TRADITIONS HALL,CLO
Alcohol Offense,11/16/13 14:28,2013-11-16 14:28:29 and 2013-11-16 14:28:29,1311-0239,945 W JEFFERSON ST,CLO
Intox Person 2,7/27/13 2:05,2013-07-27 02:05:36 and 2013-07-27 02:05:36,1307-0226,810 W TENNESSEE ST; DEGRAFF WEST,CLO
Welfare Check,12/5/13 16:41,2013-12-05 16:41:49 and 2013-12-05 16:41:49,1312-0050,1165 ACADEMIC WAY; MCCOLLUM HALL,CLO
Agency Assist,12/17/13 4:03,2013-12-17 04:03:22 and 2013-12-17 04:03:22,1312-0167,700 W VIRGINIA ST,CLO
Lost Property,10/17/13 22:21,2013-10-17 22:21:11 and 2013-10-17 22:21:11,1310-0215,113 COLLEGIATE LOOP; BELLAMY BLDG,CLO
Crim Mischief,1/22/13 8:01,2013-01-18 16:30:00 and 2013-01-22 08:01:23,1301-0196,609 W ST AUGUSTINE ST; CAMPUS SERVICES BLDG.,CLO
Sick/Inj Person,10/16/13 23:20,2013-10-16 23:20:05 and 2013-10-16 23:20:05,1310-0200,74 CHIEFTAN WAY; KELLUM HALL,CLO
Sick/Inj Person,1/11/13 15:07,2013-01-10 21:30:00 and 2013-01-10 21:30:00,1301-0068,119 HONORS WAY; CAWTHON HALL,CLO
Theft,5/29/13 10:51,2013-05-24 15:00:00 and 2013-05-29 07:30:00,1305-0202,113 COLLEGIATE LOOP; BELLAMY BLDG,CLO
Special Assignm,9/18/13 21:13,2013-09-18 21:00:00 and 2013-09-19 01:30:00,1309-0227,830 W JEFFERSON ST; TANNER HALL,CLO
Traffic Offense,2/24/13 15:29,2013-02-24 15:29:23 and 2013-02-24 15:29:25,1302-0253,STADIUM DR,CLO
Found Property,4/25/13 1:03,2013-04-25 01:03:31 and 2013-04-25 01:03:31,1304-0267,989 LEARNING WAY; CLASSROOM FACILITY,CLO
Crim Mischief,3/8/13 1:19,2013-03-08 01:18:58 and 2013-03-08 01:18:58,1303-0079,115 HONORS WAY; Cawthon Hall Lot,EXP
Sick/Inj Person,8/7/13 10:19,2013-08-07 10:19:37 and 2013-08-07 10:19:37,1308-0033,555 W PENSACOLA ST; TURNBULL CONFERENCE CENTER,CLO
Suspicious Act.,11/12/13 20:30,2013-11-12 20:30:39 and 2013-11-12 20:30:39,1311-0190,830 W JEFFERSON ST; TANNER HALL,CLO
Suspicious Act.,6/1/13 1:55,2013-06-01 01:55:05 and 2013-06-01 01:55:05,1306-0002,114 N COPELAND ST; KUERSTEINER MUSIC BLDG,PEN
Sick/Inj Person,9/3/13 9:32,2013-09-03 09:31:51 and 2013-09-03 09:31:51,1309-0024,631 UNIVERSITY WAY; WILLIAMS BLDG,CLO
Found Property,7/12/13 8:54,2013-07-10 10:30:00 and 2013-07-10 12:00:00,1307-0080,89 N WOODWARD AVE; UNION,CLO
Sick/Inj Person,9/17/13 19:48,2013-09-17 19:48:11 and 2013-09-17 19:48:11,1309-0215,118 VARSITY WAY; LEACH CENTER,CLO
Information Bul,10/2/13 12:34,2013-10-02 12:34:24 and 2013-10-02 12:34:24,1310-0016,830 W JEFFERSON ST; TANNER HALL,CLO
Traffic Stop,11/1/13 16:59,2013-11-01 16:59:25 and 2013-11-01 16:59:27,1311-0022,1060 West Tennessee Street,PEN
Alcohol Offense,10/31/13 22:19,2013-10-31 22:19:44 and 2013-10-31 22:19:44,1310-0424,511 W COLLEGE AVE; Commuter Lot,PAT
Sick/Inj Person,2/17/13 2:46,2013-02-17 02:46:15 and 2013-02-17 02:46:15,1302-0177,182 CONVOCATION WAY; BRYAN HALL,CLO
Theft,8/25/13 17:14,2013-08-24 22:15:00 and 2013-08-25 17:14:00,1308-0156,1147 ACADEMIC WAY; ROGERS HALL,CLO
Theft,5/2/13 8:33,2013-03-27 10:00:00 and 2013-03-28 02:00:00,1305-0013,142 COLLEGIATE LOOP; SHORES BLDG,CLO
Traff Hit/Run 3,1/6/13 19:31,2013-01-06 19:31:03 and 2013-01-06 19:31:03,1301-0016,CHIEFTAN WAY & W PENSACOLA ST,CLO
Traff Crash 4,4/22/13 18:57,2013-04-22 18:57:56 and 2013-04-22 18:57:56,1304-0234,643 UNIVERSITY WAY; Dodd Hall Lot,CLO
Theft,9/22/13 20:43,2013-09-21 08:00:00 and 2013-09-22 08:00:00,1309-0268,139 CHIEFTAN WAY; TULLY GYM,CLO
Traff Crash 4,11/21/13 12:50,2013-11-21 12:47:28 and 2013-11-21 12:47:28,1311-0316,2010 LEVY AVE,CLO
Disturbance,9/10/13 2:40,2013-09-10 02:40:03 and 2013-09-10 02:40:03,1309-0114,E TENNESSEE ST,CLO
Sick/Inj Person,6/24/13 1:47,2013-06-24 01:46:59 and 2013-06-24 01:46:59,1306-0141,714 UNIVERSITY WAY; LANDIS HALL,CLO
Harassment,9/20/13 12:58,2013-09-20 12:58:10 and 2013-09-20 12:58:10,1309-0248,830 W JEFFERSON ST; TANNER HALL,CLO
Investigation,3/5/13 15:58,2013-03-05 15:58:02 and 2013-03-05 15:58:02,1303-0051,830 W JEFFERSON ST; TANNER HALL,CLO
Investigation,7/19/13 16:33,2013-07-19 16:33:12 and 2013-07-19 16:33:12,1307-0156,1800 E PAUL DIRAC DR; Magnetic Lab,CLO
Disorderly,11/22/13 3:00,2013-11-22 03:00:26 and 2013-11-22 03:00:26,1311-0333,938 W JEFFERSON ST; WILDWOOD NO.1,PEN
Burglary,12/1/13 20:19,2013-12-01 16:00:00 and 2013-12-01 20:19:26,1312-0005,1916 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 5,CLO
Welfare Check,3/28/13 12:05,2013-03-28 12:04:43 and 2013-03-28 12:04:43,1303-0244,1650 Airport Drive,CLO
Fire Alarm,6/13/13 23:37,2013-06-13 23:37:50 and 2013-06-13 23:37:50,1306-0085,668 UNIVERSITY WAY; BROWARD HALL,CLO
Alcohol Offense,12/7/13 23:41,2013-12-07 23:41:42 and 2013-12-07 23:41:42,1312-0081,N COPELAND ST & W CALL ST,PEN
Sick/Inj Person,10/26/13 18:12,2013-10-26 15:30:00 and 2013-10-26 15:45:00,1310-0345,411 STADIUM DR; CAMPBELL STADIUM,CLO
Welfare Check,8/21/13 12:11,2013-08-21 12:11:06 and 2013-08-21 12:11:06,1308-0114,830 W JEFFERSON ST; TANNER HALL,CLO
Theft,9/27/13 11:13,2013-09-26 10:00:00 and 2013-09-26 11:00:00,1309-0314,1115 W CALL ST; THRASHER MEDICAL SCHOOL,CLO
Theft,2/18/13 19:23,2013-02-18 12:50:00 and 2013-02-18 16:50:00,1302-0195,319 STADIUM DR; KING LIFE SCI. BLDG,CLO
Sick/Inj Person,9/23/13 12:55,2013-09-23 12:55:04 and 2013-09-23 12:55:04,1309-0275,555 W PENSACOLA ST; TURNBULL CONFERENCE CENTER,CLO
Disorderly,9/5/13 0:05,2013-09-05 00:05:52 and 2013-09-05 00:05:52,1309-0044,W TENNESSEE ST & DEWEY ST,PEN
Fire,10/20/13 12:29,2013-10-20 12:29:04 and 2013-10-20 12:29:04,1310-0243,W PARK AVE & N COPELAND ST,CLO
Traff Crash 4,3/28/13 17:05,2013-03-28 17:05:16 and 2013-03-28 17:05:16,1303-0251,403 STADIUM DR; UNIVERSITY CENTER D,CLO
Fire Alarm,11/1/13 12:08,2013-11-01 12:08:42 and 2013-11-01 12:08:42,1311-0017,109 COLLEGIATE LOOP; THAGARD HEALTH CENTER,CLO
Sick/Inj Person,11/2/13 6:39,2013-11-02 06:39:21 and 2013-11-02 06:39:21,1311-0043,78 CHIEFTAN WAY; SMITH HALL,CLO
Baker Act,8/9/13 8:26,2013-08-09 08:26:08 and 2013-08-09 08:26:08,1308-0044,1115 W CALL ST; THRASHER MEDICAL SCHOOL,CLO
Traffic Offense,7/18/13 3:17,2013-07-18 03:17:26 and 2013-07-18 03:17:27,1307-0140,W PENSACOLA ST,PEN
Fire Alarm,4/11/13 10:27,2013-04-11 10:27:28 and 2013-04-11 10:27:28,1304-0111,143 HONORS WAY; JOHNSTON BLDG,CLO
Drugs,4/7/13 20:55,2013-04-07 20:55:56 and 2013-04-07 20:55:56,1304-0074,287 CHAMPIONS WAY; Langford Green,PEN
Found Property,11/2/13 20:11,2013-11-02 20:11:29 and 2013-11-02 20:11:29,1311-0071,830 W JEFFERSON ST; TANNER HALL,CLO
Fire Alarm,2/10/13 14:19,2013-02-10 14:19:48 and 2013-02-10 14:19:48,1302-0103,812 W JEFFERSON ST; DORMAN HALL,CLO
Theft,11/7/13 18:43,2013-11-06 16:00:00 and 2013-11-07 18:00:00,1311-0149,356 PENNELL CIR,CLO
Investigation,9/28/13 16:14,2013-09-28 16:14:28 and 2013-09-28 16:14:28,1309-0323,74 CHIEFTAN WAY; KELLUM HALL,CLO
Theft,10/14/13 21:13,2013-10-10 21:00:00 and 2013-10-14 21:13:37,1310-0172,389 STADIUM DR; FOOTBALL PRACTICE FACILITY,CLO
Investigation,5/15/13 13:31,2013-05-15 13:31:32 and 2013-05-15 13:31:32,1305-0104,830 W JEFFERSON ST; TANNER HALL,CLO
Baker Act,12/5/13 15:14,2013-12-05 15:14:39 and 2013-12-05 15:14:39,1312-0049,960 LEARNING WAY; Wellness Center,CLO
Theft,11/4/13 12:01,2013-11-04 12:01:28 and 2013-11-04 12:01:28,1311-0112,143 HONORS WAY; JOHNSTON BLDG,CLO
Blue Light 23B,3/3/13 3:14,2013-03-03 03:14:26 and 2013-03-03 03:14:26,1303-0020,1017 ACADEMIC WAY; LOVE BLDG,CLO
Theft,8/26/13 10:05,2013-08-24 20:00:00 and 2013-08-26 09:00:00,1308-0161,78 CHIEFTAN WAY; SMITH HALL,CLO
Traff Crash 4,9/25/13 14:01,2013-09-25 13:59:14 and 2013-09-25 13:59:14,1309-0299,HENDRY LOT,CLO
Traffic Offense,3/18/13 1:14,2013-03-18 01:14:11 and 2013-03-18 01:14:12,1303-0148,W TENNESSEE ST & STADIUM DR,PEN
Property Damage,9/6/13 4:27,2013-09-06 04:27:08 and 2013-09-06 04:27:08,1309-0073,938 W JEFFERSON ST; WILDWOOD NO.1,CLO
Traff Hit/Run 3,11/20/13 14:24,2013-11-17 14:30:00 and 2013-11-20 14:00:00,1311-0303,104 N WOODWARD AVE; Parking Garage #1,CLO
Sick/Inj Person,4/13/13 15:11,2013-04-13 15:11:11 and 2013-04-13 15:11:11,1304-0134,411 STADIUM DR; CAMPBELL STADIUM,CLO
Traff Crash 4,1/31/13 18:11,2013-01-31 18:11:18 and 2013-01-31 18:11:18,1301-0306,1147 ACADEMIC WAY; ROGERS HALL,CLO
Wanted Person,9/13/13 7:41,2013-09-13 07:41:20 and 2013-09-13 07:41:20,1309-0158,830 W JEFFERSON ST; TANNER HALL,CLO
Sick/Inj Person,12/3/13 16:19,2013-12-03 16:19:11 and 2013-12-03 16:19:11,1312-0025,319 STADIUM DR; KING LIFE SCI. BLDG,CLO
Sick/Inj Person,6/18/13 9:35,2013-06-18 09:35:40 and 2013-06-18 09:35:40,1306-0103,89 N WOODWARD AVE; UNION,CLO
Traffic Offense,2/11/13 11:58,2013-02-11 11:58:17 and 2013-02-11 11:58:20,1302-0110,403 STADIUM DR; UNIVERSITY CENTER D,CLO
Agency Assist,9/23/13 23:48,2013-09-23 23:48:17 and 2013-09-23 23:48:17,1309-0278,78 CHIEFTAN WAY; SMITH HALL,CLO
Indecent Expos,4/11/13 2:11,2013-04-11 02:11:06 and 2013-04-11 02:11:06,1304-0107,113 COLLEGIATE LOOP; BELLAMY BLDG,CLO
Crim Mischief,12/7/13 2:06,2013-12-07 00:00:00 and 2013-12-07 02:00:00,1312-0075,74 CHIEFTAN WAY; KELLUM HALL,CLO
Parking Problem,11/21/13 22:59,2013-11-21 22:58:59 and 2013-11-21 22:58:59,1311-0326,500 W COLLEGE AVE,PEN
Theft,12/11/13 11:04,2013-12-04 09:00:00 and 2013-12-11 09:00:00,1312-0122,755 W MADISON ST; LIBRARY TECH,CLO
Sick/Inj Person,3/22/13 8:56,2013-03-22 08:56:12 and 2013-03-22 08:56:12,1303-0189,960 LEARNING WAY; Wellness Center,CLO
Theft,2/27/13 23:20,2013-02-27 23:20:53 and 2013-02-27 23:20:53,1302-0288,118 VARSITY WAY; LEACH CENTER,PEN
Baker Act,4/26/13 2:52,2013-04-26 02:52:02 and 2013-04-26 02:52:02,1304-0301,1944 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 10,CLO
Drugs,11/22/13 2:27,2013-11-22 02:27:43 and 2013-11-22 02:27:43,1311-0332,921 LEARNING WAY; RAGANS HALL 2 (B),PEN
Traff Crash 4,2/19/13 8:29,2013-02-19 08:29:36 and 2013-02-19 08:29:36,1302-0199,296 CHAMPIONS WAY; UNIVERSITY CENTER C,CLO
Trespassing,7/8/13 1:15,2013-07-08 01:15:29 and 2013-07-08 01:15:29,1307-0040,530 W CALL ST; FINE ARTS BLDG,PEN
Crim Mischief,7/7/13 1:33,2013-07-07 01:33:11 and 2013-07-07 01:33:11,1307-0035,537 W COLLEGE AVE; WESTCOTT WELCOME CENTER,PEN
Found Property,9/17/13 15:21,2013-08-30 00:00:00 and 2013-09-17 15:21:33,1309-0211,810 W TENNESSEE ST; DEGRAFF WEST,PEN
Citizen Assist,5/7/13 14:10,2013-03-27 05:59:00 and 2013-05-05 17:00:00,1305-0069,830 W JEFFERSON ST; TANNER HALL,CLO
Investigation,11/18/13 10:34,2013-11-18 10:33:52 and 2013-11-18 10:33:52,1311-0270,143 HONORS WAY; JOHNSTON BLDG,CLO
Disturbance,1/14/13 21:25,2013-01-14 19:40:00 and 2013-01-14 21:25:39,1301-0096,1028 W TENNESSEE ST; PRESIDENTS RESIDENCE,CLO
Fraud,1/25/13 8:33,2013-01-25 08:33:19 and 2013-01-25 08:33:19,1301-0233,282 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
Fire Alarm,6/26/13 1:12,2013-06-26 01:12:21 and 2013-06-26 01:12:21,1306-0158,1912 HERITAGE GROVE CIR,CLO
Theft,4/3/13 15:37,2013-03-27 12:00:00 and 2013-04-02 18:30:00,1304-0022,702 UNIVERSITY WAY; GILCHRIST HALL,CLO
Traff Crash 4,6/23/13 20:28,2013-06-23 20:28:06 and 2013-06-23 20:28:06,1306-0140,W CALL ST & CONVOCATION WAY,CLO
Alcohol Offense,8/28/13 23:47,2013-08-28 23:47:26 and 2013-08-28 23:47:26,1308-0216,643 UNIVERSITY WAY; Dodd Hall Lot,PEN
Sick/Inj Person,10/4/13 16:35,2013-10-04 16:05:13 and 2013-10-04 16:35:13,1310-0041,104 N WOODWARD AVE; FSU Bookstore,CLO
Investigation,3/5/13 19:58,2013-03-05 19:58:12 and 2013-03-05 19:58:12,1303-0055,100 S WOODWARD AVE; WOODJEFF LOT,CLO
Alcohol Offense,9/28/13 23:02,2013-09-28 23:02:39 and 2013-09-28 23:02:39,1309-0325,W CALL ST & CONVOCATION WAY,PEN
Alcohol Offense,5/15/13 22:20,2013-05-15 22:20:15 and 2013-05-15 22:20:15,1305-0109,814 W TENNESSEE ST; DEGRAFF LOT,CLO
Alcohol Offense,4/25/13 23:28,2013-04-25 23:28:29 and 2013-04-25 23:28:29,1304-0284,459 W COLLEGE AVE; Potbellies,PEN
DUI,6/19/13 0:16,2013-06-19 00:16:04 and 2013-06-19 00:16:06,1306-0109,W TENNESSEE ST & N COPELAND ST,PEN
Fire Alarm,12/6/13 15:57,2013-12-06 15:56:30 and 2013-12-06 15:56:30,1312-0063,1721 PAUL DIRAC DR; ELBIT BLDG,CLO
Fire,10/10/13 3:45,2013-10-10 03:45:08 and 2013-10-10 03:45:08,1310-0105,144 HONORS WAY; LANDIS GREEN,CLO
Traffic Offense,6/22/13 2:28,2013-06-22 02:28:23 and 2013-06-22 02:28:25,1306-0134,HERITAGE GROVE CIR,PEN
Special Assignm,3/15/13 13:27,2013-03-15 13:27:05 and 2013-03-15 13:27:05,1303-0123,296 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
Sick/Inj Person,10/30/13 13:04,2013-10-30 13:04:21 and 2013-10-30 13:04:21,1310-0396,1001 W ST AUGUSTINE ST; INTRAMURAL FIELDS FACILITY,CLO
Sick/Inj Person,10/14/13 20:04,2013-10-14 20:04:15 and 2013-10-14 20:04:15,1310-0171,916 W JEFFERSON ST; RAGANS HALL 4 (D),CLO
Found Property,2/19/13 14:59,2013-02-19 14:58:48 and 2013-02-19 14:58:48,1302-0204,182 CONVOCATION WAY; BRYAN HALL,CLO
Sick/Inj Person,1/30/13 10:20,2013-01-30 10:10:00 and 2013-01-30 10:16:00,1301-0288,222 S COPELAND ST; WESTCOTT BLDG,CLO
Crime Prev Acti,10/30/13 21:48,2013-10-30 21:47:48 and 2013-10-30 21:47:48,1310-0410,1939 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 14,CLO
Found Property,2/2/13 16:25,2013-02-02 16:25:16 and 2013-02-02 16:25:16,1302-0021,830 W JEFFERSON ST; TANNER HALL,CLO
DUI,11/14/13 1:32,2013-11-14 01:32:26 and 2013-11-14 01:32:26,1311-0202,282 CHAMPIONS WAY; UNIVERSITY CENTER A,PEN
Marchman Act,8/29/13 23:15,2013-08-29 23:15:50 and 2013-08-29 23:15:50,1308-0240,530 W CALL ST; FINE ARTS BLDG,CLO
Theft,4/24/13 9:15,2013-04-24 08:25:00 and 2013-04-24 08:50:00,1304-0255,116 HONORS WAY; STROZIER LIBRARY,CLO
Trespassing,3/11/13 22:18,2013-03-11 22:18:57 and 2013-03-11 22:18:57,1303-0103,504 W CALL ST; PARKING GARAGE #4,PEN
Alcohol Offense,3/31/13 22:15,2013-03-31 22:15:43 and 2013-03-31 22:15:43,1303-0287,1924 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 7,PEN
Sick/Inj Person,9/9/13 16:16,2013-09-09 16:16:18 and 2013-09-09 16:16:18,1309-0106,265 CHIEFTAN WAY; Marching Chief/Lacrosse Field,CLO
Traffic Offense,10/14/13 17:05,2013-10-14 17:05:52 and 2013-10-14 17:05:54,1310-0169,1114 W CALL ST; STONE BLDG,PEN
Traff Hit/Run 3,12/3/13 15:38,2013-12-03 15:38:28 and 2013-12-03 15:38:28,1312-0024,S WOODWARD AVE,CLO
Investigation,11/3/13 14:28,2013-11-03 14:28:40 and 2013-11-03 14:28:40,1311-0099,411 STADIUM DR; CAMPBELL STADIUM,CLO
Traffic Offense,10/1/13 1:38,2013-10-01 01:38:15 and 2013-10-01 01:38:16,1310-0001,Stadium Drive,PEN
Sick/Inj Person,10/13/13 11:53,2013-10-13 11:53:09 and 2013-10-13 11:53:09,1310-0149,3950 TYSON RD; INTRAMURAL COMPLEX,CLO
Disorderly,1/17/13 23:57,2013-01-17 23:57:25 and 2013-01-17 23:57:25,1301-0146,511 W COLLEGE AVE; Commuter Lot,PEN
Fire Alarm,6/10/13 5:19,2013-06-10 05:19:58 and 2013-06-10 05:19:58,1306-0060,1060 ATOMIC WAY; COLLINS RESEARCH BLDG,CLO
Disorderly,1/16/13 0:51,2013-01-16 01:07:00 and 2013-01-16 01:07:00,1301-0114,500 W COLLEGE AVE,CLO
Theft,7/15/13 11:03,2013-07-13 10:30:00 and 2013-07-13 12:30:00,1307-0098,200 S WOODWARD AVE; Baptist Student Ministries,CLO
Crim Mischief,5/24/13 17:48,2013-05-23 17:00:00 and 2013-05-24 17:48:55,1305-0166,1916 HERITAGE GROVE CIR; HERITAGE GROVE BLDG 5,CLO
Sick/Inj Person,9/25/13 9:12,2013-09-25 09:08:00 and 2013-09-25 09:12:40,1309-0294,806 UNIVERSITY WAY; DEVINEY HALL,CLO
Theft,5/8/13 13:02,2013-03-15 17:00:00 and 2013-05-08 12:15:00,1305-0074,1114 W CALL ST; STONE BLDG,CLO
Theft,10/23/13 8:22,2013-10-23 08:15:55 and 2013-10-23 08:00:55,1310-0279,116 HONORS WAY; STROZIER LIBRARY,CLO
Marchman Act,10/31/13 1:08,2013-10-31 01:08:50 and 2013-10-31 01:08:50,1310-0412,ACADEMIC WAY & DEWEY ST,CLO
Investigation,9/29/13 10:34,2013-09-28 19:00:00 and 2013-09-28 23:05:00,1309-0328,202 VARSITY DR; WILDWOOD NO.2,CLO
Burglary,2/20/13 23:07,2013-02-20 23:07:19 and 2013-02-20 23:07:19,1302-0211,655 W JEFFERSON ST,PEN
Sick/Inj Person,12/3/13 12:03,2013-12-03 12:03:41 and 2013-12-03 12:03:41,1312-0020,118 VARSITY WAY; LEACH CENTER,CLO
Sick/Inj Person,11/23/13 11:31,2013-11-23 11:31:46 and 2013-11-23 11:31:46,1311-0348,411 STADIUM DR; CAMPBELL STADIUM,CLO
Wanted Person,8/23/13 6:24,2013-08-23 06:23:55 and 2013-08-23 06:23:55,1308-0125,S COPELAND ST,CLO
Baker Act,3/29/13 12:53,2013-03-29 12:52:49 and 2013-03-29 12:52:49,1303-0265,960 LEARNING WAY; Wellness Center,CLO
Trespassing,2/28/13 21:59,2013-02-28 21:59:12 and 2013-02-28 21:59:12,1302-0298,89 N WOODWARD AVE; UNION,PEN
Marchman Act,1/5/13 21:37,2013-01-05 21:37:02 and 2013-01-05 21:37:02,1301-0012,810 W TENNESSEE ST; DEGRAFF WEST; 2415,CLO
Theft,3/7/13 7:54,2013-03-07 07:54:48 and 2013-03-07 07:54:48,1303-0073,W TENNESSEE ST,CLO
Traff Crash 4,10/25/13 22:09,2013-10-25 22:09:16 and 2013-10-25 22:09:16,1310-0324,LAKE BRADFORD RD,CLO
Special Assignm,1/10/13 10:29,2013-01-10 10:29:28 and 2013-01-10 10:29:28,1301-0052,282 CHAMPIONS WAY; UNIVERSITY CENTER A,CLO
